sample,Species,Habitat
1s1,S. caninervis,Surface
1s2a,S. caninervis,Surface
1s2b,B. argenteum,Surface
1h2a,S. caninervis,Hypolithic
1h2b,T. inermis,Hypolithic
1s3,S. caninervis,Surface
1h3a,T. inermis,Hypolithic
1h3b,S. caninervis,Hypolithic
2s1,S. caninervis,Surface
2s2,S. caninervis,Surface
2h2,T. inermis,Hypolithic
3s1,S. caninervis,Surface
3h1a,S. caninervis,Hypolithic
3h1b,T. inermis,Hypolithic
3s2,S. caninervis,Surface
3s3a,S. caninervis,Surface
3s3b,B. argenteum,Surface
3h3,T. inermis,Hypolithic
3s4,S. caninervis,Surface
3h4,S. caninervis,Hypolithic
3s5a,S. caninervis,Surface
3s5b,T. inermis,Surface
4s1,S. caninervis,Surface
4h1,S. caninervis,Hypolithic
4s2,S. caninervis,Surface
4h2,S. caninervis,Hypolithic
4s3,S. caninervis,Surface
4s4,S. caninervis,Surface
4h4,S. caninervis,Hypolithic
4s5,S. caninervis,Surface
4h5a,S. caninervis,Hypolithic
4h5b,T. inermis,Hypolithic
4s6,S. caninervis,Surface
4h6,T. inermis,Hypolithic
5s1,S. caninervis,Surface
5h1,S. caninervis,Hypolithic
5s2,S. caninervis,Surface
5h2a,S. caninervis,Hypolithic
5h2b,T. inermis,Hypolithic
6s1,S. caninervis,Surface
6h1a,S. caninervis,Hypolithic
6h1b,T. inermis,Hypolithic
6s2,S. caninervis,Surface
7s1a,T. inermis,Surface
7s1b,S. caninervis,Surface
7h1,S. caninervis,Hypolithic
7s2,S. caninervis,Surface
8s1,S. caninervis,Surface
8h1,T. inermis,Hypolithic
8s2,T. inermis,Surface
8h2,T. inermis,Hypolithic
8s3,S. caninervis,Surface
8h3,T. inermis,Hypolithic