Surface,Hypolithic
1.441,2.113
1.345,1.99
1.124,1.287
0.601,1.159
1.245,2.791
1.181,1.612
1.065,1.174
1.373,3.891
1.212,2.003
1.185,1.653
1.04,2.112
0.867,2.83
1.024,2.336
0.907,2.387
0.898,1.59
0.845,1.778
1.088,1.422
1.247,2.427
0.979,0.896
1.285,4.214
1.226,0.195
1.001,1.172
0.951,1.908
0.929,3
1.04,1.46
0.945,2.687
0.824,2.518
1.506,3.141
1.252,1.368
1.262,1.233
1.588,0.779
0.855,0.806
1.759,0.809
1.183,1.377
1.745,1.205
0.946,5.829
1.102,3.511
1.016,1.174
1.077,3.83
1.203,1.981
1.29,2.239
1.429,1.278
1.188,1.627
1.081,2.152
1.089,1.536
1.083,2.959
1.412,1.32
1.19,1.177
1.095,1.083
0.699,1.162
1.054,
1.334,
0.718,
1.905,
2.035,
1.504,
1.341,
1.812,
1.461,
1.86,
2.328,
1.195,
1.134,
1.097,
1.274,
1.483,
1.005,
0.641,
1.114,
1.122,
0.799,
1.246,
1.371,
0.949,
1.076,
0.866,
1.27,
0.891,
1.513,
0.897,
1.521,
1.243,
1.108,
1.268,
1.295,
1.625,
0.981,
0.963,
1.065,
1.099,
1.712,
1.456,
1.324,
1.049,
1.876,
1.62,
1.504,
1.276,
1.138,
1.173,
1.225,
1.314,
1.271,
1.838,
1.733,
1.62,
2,
1.751,
2.393,
1.675,
1.474,
1.755,
1.954,
1.732,
1.772,
1.792,
1.902,
2.089,
1.077,
1.662,
1.451,
1.87,
1.409,
2.031,
1.928,
1.865,
1.69,
1.065,
1.446,
0.986,
0.865,
1.462,
1.333,
1.3766,
0.77,
1.235,
0.645,
1.158,
1.491,
0.847,
0.613,
1.584,
1.62,
0.625,
1.325,
1.077,
1.323,
0.93,
2.517,
1.34,
2.034,
1.023,
0.935,
0.733,
0.861,
0.911,
0.659,
0.659,
1.079,
1.106,
0.597,
0.738,
0.893,
1.042,
0.913,
1.355,
0.867,
0.555,
1.367,
1.092,
1.351,
1.461,
0.957,
1.142,
1.001,
0.411,
1.126,
0.746,
1.005,
1.097,
1.086,
1.247,
1.004,
1.14,
0.862,
0.717,
2.115,
0.718,
1.18,
1.035,
1.337,
1.67,
1.577,
1.241,
0.895,
1.377,
0.802,
1.266,
2.392,
1.67,
3.118,
2.056,
1.042,
0.785,
1.586,
0.926,
1.751,
1.909,
0.758,
0.574,
0.691,
0.8,
0.905,
0.891,
0.678,
0.768,
0.728,
1.075,
1.245,
0.93,
0.983,
0.908,
0.837,
1.158,
1.053,
0.813,
0.724,
0.882,
1.584,
1.465,
1.45,
1.019,
0.555,
0.777,
0.912,
1.066,
1.302,
1.608,
1.525,
0.898,
0.922,
1.061,
1.296,
1.037,
1.077,
1.34,
1.248,
1.121,
0.727,
0.685,
0.99,
1.25,
1.086,
1.474,
1.401,
0.983,
1.441,
1.009,
0.963,
0.95,
0.826,
0.957,
0.992,
0.684,
0.877,
0.654,
0.8,
1.049,
1.397,
1.095,
1.104,
1.244,
1.847,
1.623,
2.095,
1.996,
1.39,
1.068,
0.71,
1.567,
1.028,
0.645,
0.838,
1.494,
1.377,
1.222,
1.247,
1.151,
1.123,
0.859,
1.229,
1.219,
1.079,
0.55,
0.975,
1.151,
1.368,
1.3,
0.784,